date,cid,ndelivered,ndrop,nclicked,nopened
2018-04-05,17e0169f-c891-4ed3-8fa5-2d57cb67cb8a,8,0,0,6
2018-04-05,3c5cfcb8-cd21-4beb-b1d6-2342cdb8bdc6,4,0,2,2
2018-04-05,6ff84c55-86e3-48a6-8952-68144a7d8154,8,0,3,7
2018-04-05,a16735a2-e6b9-48fc-9ac8-0a0f18e1a3dd,4,0,0,4
2018-04-05,cc924ca6-f40d-4d32-981e-9540e55d9352,4,0,1,2
2018-04-05,e1cb4173-86fe-4672-a7a6-347e4dbe9177,4,0,2,4
2018-04-05,e9f0a38a-60e9-4cca-a67d-74eba80cae28,8,1,0,5
2018-04-05,feba1299-3c2f-460e-a46f-e6f7d03f4125,4,0,0,2
2018-04-06,176fde94-fb79-483a-9b18-6cac6f4a1fa2,120,17,7,48
2018-04-06,366012b7-591e-4a8c-87d3-cd0b2be094df,14,0,2,5
2018-04-06,50e09f7b-bd03-48b5-8a8c-a9c245cad20b,582,149,4,181
2018-04-06,6419f6a1-c574-47c7-8741-0854bdaf7519,15,0,3,9
2018-04-06,6840990f-5838-41fc-b5aa-eda681f468c7,14,0,3,9
2018-04-06,71686962-89ca-4bca-bd21-322af1a2b52e,95,15,2,7
2018-04-06,7773036e-430f-41e2-a449-3df679bf9d0a,2,0,0,1
2018-04-06,87b2764f-67f9-453b-824b-df3229c79fc2,0,0,0,0
2018-04-06,a856105c-9c71-4ca2-9e3c-f02625c86a84,10,1,3,6
2018-04-06,b6711e5e-d7e9-4a1e-87d3-6143ac761894,15,0,0,3
2018-04-06,e614733e-7db4-479a-bc3a-5e1070973670,3,0,1,2
2018-04-06,ebc3212f-61c7-4dcf-81a1-cb9c48acb3dc,0,0,0,0
2018-04-06,f746e610-2e76-4044-af5a-c8b439ebab4e,2171,570,28,446
2018-04-07,241c39ba-1a5b-4feb-810c-72bd2d7e30c7,4,0,0,2
2018-04-07,30677d06-0ed9-4df0-80d1-af238bdb9993,4,0,1,2
2018-04-07,5b1c30cc-f208-4b56-8948-01abc75a11fc,4,0,1,4
2018-04-07,75ab8770-0f2f-41ee-b65b-9013a085f98f,4,0,0,4
2018-04-07,aa9f9a1c-d09b-41ae-bc45-357bafa8b8b5,4,0,0,4
2018-04-07,ea7d8b1b-aaa1-4eff-93cc-a4d2ffca62f6,4,0,0,2
2018-04-09,03c7d276-0778-4929-90aa-4d80cadb851e,1,4,0,1
2018-04-09,1329409f-4c1a-4e77-be24-dae046c9bbd1,1,1,0,0
2018-04-09,1a5cda4d-50be-447f-b2d6-a63d7eacd504,3382,1275,28,640
2018-04-09,337aa3f2-5da4-453c-977e-a0cb67f9a8f8,2,0,0,1
2018-04-09,4c30d448-4b83-4558-a568-4c0f08fa858c,2,0,1,1
2018-04-09,5308a87e-9b85-4d59-a280-4a8ac49bf276,164,0,3,8
2018-04-09,5f66d12d-3a27-41f5-972d-4c6c90813dd6,2579,95,73,596
2018-04-09,a21392e4-f3a0-41d9-80c6-c7ecd015ca97,3384,1273,11,255
2018-04-09,b6dea720-6d4d-4d28-bc35-090c345ffd44,0,0,1,1
2018-04-09,c9c03262-8d6e-4941-b4a1-54a322bd34df,0,3,2,15
2018-04-09,d103b7cb-24a5-4f86-81d9-37cf50510550,4,1,0,2
2018-04-09,d5f362ec-4870-4192-97af-b0e9e8e68ab1,1712,322,8,47
2018-04-09,e7cf9c53-7724-4225-82ca-a555fdb8de9c,162,0,2,6
2018-04-09,f4daacc4-a0a0-4e7c-8496-e73ef8612b89,0,0,1,1
2018-04-09,ff7547d8-ec2b-43c5-9b12-61c7c141ee23,39,7,2,15
2018-04-10,0099ca01-8d4b-4412-bff1-d65ba1bb5043,4,0,1,4
2018-04-10,05a51669-d1e6-4a73-a6e3-4a3e6bd8ddd1,91,7,0,72
2018-04-10,22bd50d0-4be1-48cf-bdd0-f6a68f5eb6b7,4,0,1,4
2018-04-10,3a90d75e-f480-469e-a380-f568caecd6f3,2858,1601,44,391
2018-04-10,543aee3a-a0d1-4867-a797-13ca9c3a5867,4,0,0,4
2018-04-10,723453fc-1fcd-4c84-981c-3928f625b619,4,0,1,3
2018-04-10,839a61f7-501b-474c-b99c-9d918ff53efd,109,9,0,93
2018-04-10,bfef51f2-3c84-494c-92fe-dc94391690ef,146,11,2,116
2018-04-10,d51e80e1-1635-4a98-89e6-50f85cd6e5fe,4,0,1,4
2018-04-10,f1c89f12-5f0f-4e9f-8650-92ee980a31d7,4,0,1,3
2018-04-10,fa7f9a63-1491-404f-91a1-32cdf9445e8c,4,0,0,3
2018-04-11,01a0f1e8-7ec3-43a0-bfd4-d75d1c9cbeb5,59,8,1,19
2018-04-11,39ac1b68-d159-43a9-a7f2-53dcd91b3548,50,12,1,24
2018-04-11,be7099b7-4b53-4a19-930d-2a67e9dbabef,15,0,0,8
2018-04-11,c0b4620f-b548-41b8-bf98-2f91cd2c457b,1,0,0,1
